Date,Total
04/07/2021 12:43:34,50.95
04/07/2021 01:18:22,49.7
04/07/2021 01:26:30,49.89
04/07/2021 01:51:59,50.28
04/07/2021 01:59:08,50.13
04/07/2021 09:25:29,51.39
04/07/2021 09:30:32,51.43
04/07/2021 09:55:01,51.89
04/07/2021 10:25:01,52.21
04/07/2021 10:55:07,52.14
04/07/2021 11:40:45,51.93
04/07/2021 12:02:49,52.13
04/07/2021 12:03:45,52.16
04/07/2021 12:25:08,52.29
04/07/2021 12:55:01,52.33
04/07/2021 01:25:01,51.89
04/07/2021 01:29:52,51.84
04/07/2021 01:31:48,51.81
04/07/2021 02:06:38,51.68
04/07/2021 02:15:26,51.94
04/07/2021 02:45:26,52.26
04/07/2021 03:15:24,52.28
04/07/2021 04:06:56,52.57
04/07/2021 04:07:22,52.57
04/07/2021 04:15:32,52.24
04/07/2021 04:16:54,52.32
04/07/2021 04:27:17,52.27
04/07/2021 04:53:32,52.28
04/07/2021 05:48:42,52.29
04/07/2021 05:51:41,52.21
04/07/2021 06:09:29,52.31
04/07/2021 06:10:34,52.32
04/07/2021 06:28:12,52.39
04/07/2021 06:34:52,52.45
